1.0000 0.0022
0.9957 0.0035
0.9830 0.0074
0.9619 0.0139
0.9330 0.0224
0.8967 0.0326
0.8536 0.0437
0.8044 0.0563
0.7500 0.0684
0.6913 0.0810
0.6294 0.0925
0.5653 0.1029
0.5000 0.1122
0.4347 0.1183
0.3706 0.1222
0.3393 0.1229
0.3087 0.1236
0.2789 0.1228
0.2500 0.1215
0.2222 0.1184
0.1956 0.1151
0.1703 0.1106
0.1464 0.1060
0.1241 0.0996
0.1033 0.0937
0.0843 0.0866
0.0670 0.0788
0.0516 0.0708
0.0381 0.0615
0.0265 0.0532
0.0170 0.0436
0.0096 0.0298
0.0043 0.0133
0.0011 0.0033
0.0000 0.0000
0.0011 -0.0024
0.0043 -0.0097
0.0096 -0.0217
0.0170 -0.0326
0.0265 -0.0411
0.0381 -0.0480
0.0516 -0.0557
0.0670 -0.0617
0.0843 -0.0674
0.1033 -0.0724
0.1241 -0.0760
0.1464 -0.0799
0.1703 -0.0824
0.1956 -0.0848
0.2222 -0.0859
0.2500 -0.0867
0.2789 -0.0864
0.3087 -0.0858
0.3393 -0.0844
0.3706 -0.0830
0.4347 -0.0786
0.5000 -0.0731
0.5653 -0.0657
0.6294 -0.0579
0.6913 -0.0498
0.7500 -0.0416
0.8044 -0.0337
0.8536 -0.0260
0.8967 -0.0193
0.9330 -0.0134
0.9619 -0.0086
0.9830 -0.0051
0.9957 -0.0029
1.0000 -0.0022
