1.0000 0.0013
0.9957 0.0019
0.9830 0.0036
0.9619 0.0065
0.9330 0.0103
0.8967 0.0149
0.8536 0.0201
0.8044 0.0257
0.7500 0.0316
0.6913 0.0375
0.6294 0.0431
0.5653 0.0484
0.5000 0.0529
0.4347 0.0565
0.3706 0.0590
0.3393 0.0597
0.3087 0.0600
0.2789 0.0599
0.2500 0.0594
0.2222 0.0585
0.1956 0.0571
0.1703 0.0553
0.1464 0.0531
0.1241 0.0504
0.1033 0.0473
0.0843 0.0439
0.0670 0.0401
0.0516 0.0360
0.0381 0.0316
0.0265 0.0268
0.0170 0.0218
0.0096 0.0167
0.0043 0.0111
0.0011 0.0054
0.0000 0.0000
0.0011 -0.0054
0.0043 -0.0111
0.0096 -0.0167
0.0170 -0.0218
0.0265 -0.0268
0.0381 -0.0316
0.0516 -0.0360
0.0670 -0.0401
0.0843 -0.0439
0.1033 -0.0473
0.1241 -0.0504
0.1464 -0.0531
0.1703 -0.0553
0.1956 -0.0571
0.2222 -0.0585
0.2500 -0.0594
0.2789 -0.0599
0.3087 -0.0600
0.3393 -0.0597
0.3706 -0.0590
0.4347 -0.0565
0.5000 -0.0529
0.5653 -0.0484
0.6294 -0.0431
0.6913 -0.0375
0.7500 -0.0316
0.8044 -0.0257
0.8536 -0.0201
0.8967 -0.0149
0.9330 -0.0103
0.9619 -0.0065
0.9830 -0.0036
0.9957 -0.0019
1.0000 -0.0013
