1.0000 0.0000
0.9957 0.0006
0.9830 0.0022
0.9619 0.0046
0.9330 0.0077
0.8967 0.0113
0.8536 0.0152
0.8044 0.0194
0.7500 0.0238
0.6913 0.0282
0.6294 0.0325
0.5653 0.0364
0.5000 0.0398
0.4347 0.0425
0.3706 0.0443
0.3393 0.0448
0.3087 0.0451
0.2789 0.0450
0.2500 0.0447
0.2222 0.0440
0.1956 0.0430
0.1703 0.0416
0.1464 0.0399
0.1241 0.0380
0.1033 0.0356
0.0843 0.0331
0.0670 0.0302
0.0516 0.0272
0.0381 0.0239
0.0265 0.0204
0.0170 0.0165
0.0096 0.0121
0.0043 0.0077
0.0011 0.0035
0.0000 0.0000
0.0011 -0.0035
0.0043 -0.0077
0.0096 -0.0121
0.0170 -0.0165
0.0265 -0.0204
0.0381 -0.0239
0.0516 -0.0272
0.0670 -0.0302
0.0843 -0.0331
0.1033 -0.0356
0.1241 -0.0380
0.1464 -0.0399
0.1703 -0.0416
0.1956 -0.0430
0.2222 -0.0440
0.2500 -0.0447
0.2789 -0.0450
0.3087 -0.0451
0.3393 -0.0448
0.3706 -0.0443
0.4347 -0.0425
0.5000 -0.0398
0.5653 -0.0364
0.6294 -0.0325
0.6913 -0.0282
0.7500 -0.0238
0.8044 -0.0194
0.8536 -0.0152
0.8967 -0.0113
0.9330 -0.0077
0.9619 -0.0046
0.9830 -0.0022
0.9957 -0.0006
1.0000 0.0000
